Item Name,Supplier,Quantity,Cost Per Unit,Total Cost,Expiry Date,Storage Location,Stock Status,Order Date,Delivery Date
Without Personal Protective Equipment,MedSupplies,275,75.95,20886.25,Invalid Date,Clinic Branch,Out of Stock,26/05/2024,21/02/2025
Approach Diagnostic Tools,HealthFirst,215,85.75,18436.25,04/02/2025,Main Hospital,Low Stock,27/10/2022,
Charge Sanitizers,CareWell,217,35.66,7738.22,15/09/2027,Warehouse B,Out of Stock,27/12/2023,27/02/2024
Space Diagnostic Tools,CareWell,129,356.27,45958.83,29/05/2025,Emergency Storage,Low Stock,07/07/2022,19/12/2024
Phone Surgical Equipment,CareWell,207,14.98,3100.86,29/07/2027,Emergency Storage,Low Stock,29/08/2023,29/11/2024
Man Personal Protective Equipment,MedSupplies,282,180.42,50878.44,17/04/2024,Main Hospital,Out of Stock,03/04/2024,16/12/2024
Nice Diagnostic Tools,MediCorp,116,458.19,53150.04,14/12/2025,Emergency Storage,Low Stock,05/06/2023,07/12/2024
Doctor Personal Protective Equipment,HealthFirst,82,102.89,8436.98,18/05/2027,Main Hospital,Available,18/08/2022,13/11/2024
Be Sanitizers,MedSupplies,37,298.21,11033.77,11/02/2026,Main Hospital,Low Stock,01/05/2023,05/03/2025
Federal Diagnostic Tools,MediCorp,238,435.39,103622.82,14/02/2025,Main Hospital,Available,28/05/2024,11/01/2025
Born Personal Protective Equipment,CareWell,157,67.44,10588.08,06/09/2026,Clinic Branch,Low Stock,15/02/2024,29/02/2024
Century Diagnostic Tools,MediCorp,74,466.23,34501.02,20/12/2026,Warehouse A,Out of Stock,08/09/2023,25/10/2024
Word Surgical Equipment,MedSupplies,215,177.17,38091.55,30/01/2026,Warehouse A,Available,08/12/2023,
Education Sanitizers,PharmaPlus,107,73.66,7881.62,20/09/2024,Warehouse B,Low Stock,07/11/2024,24/02/2025
Finish Sanitizers,MedSupplies,0,454.55,0,28/06/2026,Emergency Storage,Out of Stock,17/07/2022,18/02/2024
For Medicine,PharmaPlus,36,108.94,3921.84,20/12/2024,Warehouse A,Available,24/12/2023,10/02/2024
Easy Diagnostic Tools,,295,24.51,7230.45,16/08/2025,Warehouse A,Low Stock,29/09/2024,30/01/2025
Close Diagnostic Tools,PharmaPlus,92,84.02,7729.84,26/01/2028,Main Hospital,Out of Stock,23/01/2024,13/01/2025
Structure Sanitizers,MediCorp,165,155.42,25644.3,Invalid Date,Clinic Branch,Low Stock,09/07/2023,25/02/2025
You Sanitizers,HealthFirst,53,456.47,24192.91,17/12/2024,Emergency Storage,Available,13/02/2023,23/09/2024
Rich Personal Protective Equipment,MedSupplies,77,351.4,27057.8,01/10/2026,Clinic Branch,Out of Stock,07/10/2024,13/02/2025
Civil Medicine,CareWell,239,279.04,66690.56,08/10/2027,Clinic Branch,Out of Stock,21/09/2023,
Factor Diagnostic Tools,MedSupplies,287,284.81,81740.47,26/03/2024,Warehouse A,Available,16/08/2023,21/09/2023
Like Medicine,PharmaPlus,73,446.04,32560.92,22/08/2027,Warehouse B,Out of Stock,02/05/2024,05/03/2025
Home Diagnostic Tools,HealthFirst,151,428.68,64730.68,22/11/2024,Clinic Branch,Available,25/09/2022,02/02/2024
Address Diagnostic Tools,PharmaPlus,277,142.51,39475.27,10/12/2024,Warehouse B,Low Stock,08/06/2023,13/10/2023
Character Medicine,MediCorp,273,297.57,81236.61,30/05/2025,Warehouse A,Low Stock,15/11/2022,02/09/2024
Manage Sanitizers,PharmaPlus,173,413.08,71462.84,30/11/2026,Warehouse B,Low Stock,08/09/2024,06/01/2025
Career Sanitizers,CareWell,199,396.93,78989.07,13/04/2026,Emergency Storage,Low Stock,09/11/2022,05/01/2024
Bit Diagnostic Tools,MedSupplies,39,469.92,18326.88,01/08/2027,Main Hospital,Low Stock,09/11/2022,09/06/2024
Section Medicine,MediCorp,105,325.15,34140.75,25/04/2025,Clinic Branch,Low Stock,17/05/2022,09/11/2024
Throughout Medicine,,165,66.01,10891.65,20/04/2027,Warehouse A,Out of Stock,22/05/2022,24/02/2024
Add Surgical Equipment,HealthFirst,55,479.11,26351.05,09/12/2027,Clinic Branch,Available,17/02/2023,13/12/2023
Fine Surgical Equipment,MedSupplies,227,287.9,65353.3,24/05/2027,Warehouse B,Low Stock,13/08/2022,17/10/2023
Whether Diagnostic Tools,MediCorp,146,20.31,2965.26,06/04/2027,Warehouse A,Out of Stock,10/12/2022,15/08/2023
Realize Surgical Equipment,PharmaPlus,265,154.24,40873.6,21/04/2025,Main Hospital,Low Stock,24/05/2022,14/06/2022
Also Personal Protective Equipment,HealthFirst,55,214.43,11793.65,06/10/2026,Warehouse B,Available,27/03/2023,30/04/2023
State Diagnostic Tools,MedSupplies,217,293.21,63626.57,21/07/2026,Emergency Storage,Available,26/03/2023,12/07/2023
Small Diagnostic Tools,HealthFirst,242,330.31,79935.02,12/03/2027,Warehouse B,Available,13/02/2024,11/02/2025
Tend Sanitizers,HealthFirst,271,130.74,35430.54,15/10/2026,Clinic Branch,Available,06/05/2022,29/08/2024
Loss Sanitizers,MediCorp,152,83.38,12673.76,05/07/2025,Clinic Branch,Available,25/07/2022,07/02/2025
Hope Medicine,,97,74.63,7239.11,17/04/2024,Warehouse B,Out of Stock,25/11/2024,19/12/2024
Do Surgical Equipment,CareWell,185,396.46,73345.1,19/02/2027,Warehouse B,Out of Stock,20/04/2024,21/11/2024
Everything Medicine,PharmaPlus,203,321.28,65219.84,27/08/2025,Clinic Branch,Available,07/10/2023,14/11/2024
Can Diagnostic Tools,HealthFirst,261,304.42,79453.62,30/11/2027,Main Hospital,Available,16/09/2024,
With Diagnostic Tools,MediCorp,133,253.23,33679.59,Invalid Date,Main Hospital,Available,12/01/2024,20/02/2024
Citizen Sanitizers,MedSupplies,156,229.76,35842.56,14/12/2025,Emergency Storage,Low Stock,25/11/2022,26/09/2024
Focus Medicine,CareWell,215,463.49,99650.35,11/08/2027,Warehouse B,Available,26/05/2024,10/03/2025
Another Personal Protective Equipment,HealthFirst,70,362.62,25383.4,07/04/2024,Main Hospital,Available,30/10/2023,13/04/2024
Board Diagnostic Tools,PharmaPlus,295,309.22,91219.9,09/09/2024,Emergency Storage,Out of Stock,29/09/2024,13/10/2024
Easy Medicine,PharmaPlus,5,279.18,1395.9,13/07/2024,Main Hospital,Out of Stock,21/07/2022,22/08/2022
Mother Diagnostic Tools,PharmaPlus,248,61.98,15371.04,09/10/2027,Clinic Branch,Out of Stock,29/10/2024,01/01/2025
Continue Diagnostic Tools,HealthFirst,165,134.96,22268.4,18/10/2026,Clinic Branch,Out of Stock,19/12/2024,12/03/2025
Piece Surgical Equipment,CareWell,178,365.21,65007.38,29/11/2024,Main Hospital,Low Stock,22/07/2023,17/10/2024
Relationship Diagnostic Tools,,222,5.67,1258.74,07/07/2026,Warehouse B,Low Stock,07/11/2024,07/12/2024
Yard Sanitizers,CareWell,39,458.64,17886.96,11/03/2027,Emergency Storage,Low Stock,11/05/2024,
Remember Surgical Equipment,CareWell,133,265.62,35327.46,12/07/2025,Warehouse A,Low Stock,13/02/2025,18/02/2025
Mention Medicine,HealthFirst,97,411.77,39941.69,23/05/2025,Warehouse A,Out of Stock,20/01/2024,21/08/2024
Already Diagnostic Tools,CareWell,116,499.6,57953.6,05/02/2027,Emergency Storage,Available,18/04/2022,
Administration Diagnostic Tools,MedSupplies,263,436.09,114691.67,12/08/2026,Warehouse A,Out of Stock,12/10/2023,02/02/2024
Fast Personal Protective Equipment,PharmaPlus,187,387.5,72462.5,18/10/2026,Main Hospital,Out of Stock,22/08/2022,
Nearly Medicine,,121,37.43,4529.03,05/04/2026,Warehouse B,Available,30/12/2024,08/01/2025
Teacher Medicine,MedSupplies,255,340.87,86921.85,14/06/2027,Warehouse B,Low Stock,18/06/2022,
Song Diagnostic Tools,HealthFirst,262,35.28,9243.36,03/02/2027,Main Hospital,Available,08/04/2022,15/02/2024
Voice Medicine,HealthFirst,48,106.94,5133.12,18/06/2026,Main Hospital,Low Stock,24/10/2022,13/01/2025
Best Surgical Equipment,,274,442.47,121236.78,21/09/2025,Emergency Storage,Out of Stock,07/06/2023,03/07/2024
Decade Diagnostic Tools,HealthFirst,129,5.38,694.02,23/04/2025,Warehouse B,Available,15/09/2022,06/06/2023
Would Surgical Equipment,HealthFirst,39,14.32,558.48,18/03/2027,Emergency Storage,Out of Stock,13/03/2023,18/04/2024
Page Diagnostic Tools,MedSupplies,222,485.23,107721.06,24/05/2024,Clinic Branch,Out of Stock,23/08/2022,07/12/2024
Order Sanitizers,PharmaPlus,183,149.25,27312.75,07/08/2025,Emergency Storage,Out of Stock,02/10/2022,20/01/2024
Region Medicine,HealthFirst,216,377.38,81514.08,05/03/2025,Clinic Branch,Low Stock,08/02/2023,04/07/2023
Morning Surgical Equipment,MediCorp,23,429.13,9869.99,24/11/2025,Main Hospital,Low Stock,25/05/2023,16/06/2023
Movie Surgical Equipment,MediCorp,271,330.54,89576.34,09/08/2027,Warehouse B,Low Stock,29/10/2022,01/06/2023
Of Medicine,PharmaPlus,49,296.45,14526.05,15/12/2026,Emergency Storage,Low Stock,19/09/2022,27/06/2023
Seat Medicine,HealthFirst,56,85.8,4804.8,17/03/2026,Emergency Storage,Low Stock,24/09/2022,
Agree Medicine,CareWell,262,24.54,6429.48,27/02/2026,Warehouse A,Available,19/01/2025,19/02/2025
Lead Personal Protective Equipment,MedSupplies,47,203.79,9578.13,07/02/2028,Emergency Storage,Out of Stock,10/08/2023,22/06/2024
Walk Surgical Equipment,PharmaPlus,197,457.26,90080.22,25/09/2026,Clinic Branch,Low Stock,01/01/2023,27/10/2024
Body Diagnostic Tools,CareWell,223,16.06,3581.38,11/07/2025,Emergency Storage,Low Stock,03/11/2022,01/04/2023
Anyone Surgical Equipment,CareWell,0,427.54,0,11/05/2024,Clinic Branch,Available,22/08/2022,18/12/2023
Compare Sanitizers,PharmaPlus,208,200.89,41785.12,04/03/2027,Main Hospital,Low Stock,01/10/2023,01/03/2024
Star Medicine,MedSupplies,105,249.77,26225.85,07/12/2024,Warehouse B,Out of Stock,14/03/2024,22/12/2024
Real Surgical Equipment,,49,220.09,10784.41,30/11/2025,Emergency Storage,Out of Stock,27/01/2024,05/06/2024
When Surgical Equipment,CareWell,43,212.72,9146.96,08/12/2024,Warehouse A,Low Stock,31/03/2022,30/12/2023
Your Medicine,MedSupplies,274,424.8,116395.2,22/10/2026,Warehouse B,Low Stock,05/08/2022,06/04/2024
Miss Diagnostic Tools,CareWell,227,399.23,90625.21,04/06/2026,Main Hospital,Out of Stock,26/08/2023,12/12/2024
Marriage Surgical Equipment,HealthFirst,256,100.08,25620.48,16/06/2024,Emergency Storage,Low Stock,19/06/2023,12/07/2023
Fill Surgical Equipment,CareWell,97,290.05,28134.85,06/10/2026,Clinic Branch,Available,04/03/2024,30/06/2024
Magazine Medicine,MedSupplies,85,209.99,17849.15,20/07/2027,Warehouse A,Out of Stock,04/04/2024,20/07/2024
Anyone Surgical Equipment,MedSupplies,258,93.11,24022.38,11/04/2024,Warehouse A,Available,17/02/2024,22/11/2024
Main Personal Protective Equipment,PharmaPlus,233,452.94,105535.02,08/10/2026,Warehouse A,Low Stock,16/10/2024,06/12/2024
Finally Sanitizers,MediCorp,114,355.28,40501.92,10/10/2025,Main Hospital,Out of Stock,29/04/2023,
Stand Personal Protective Equipment,MediCorp,148,462.34,68426.32,21/02/2028,Main Hospital,Available,24/05/2024,12/11/2024
Who Sanitizers,HealthFirst,12,26.19,314.28,18/07/2027,Clinic Branch,Available,30/10/2024,06/11/2024
Manage Medicine,MediCorp,78,411.57,32102.46,11/05/2027,Warehouse A,Available,24/03/2023,09/10/2023
Go Surgical Equipment,CareWell,18,397.6,7156.8,06/07/2025,Emergency Storage,Out of Stock,19/11/2022,11/10/2023
Trip Diagnostic Tools,HealthFirst,37,78.81,2915.97,07/08/2024,Clinic Branch,Available,11/03/2023,30/08/2023
Start Diagnostic Tools,HealthFirst,257,227.76,58534.32,11/04/2027,Warehouse A,Low Stock,03/05/2022,04/09/2022
Reason Diagnostic Tools,CareWell,86,152.7,13132.2,01/11/2024,Main Hospital,Out of Stock,28/07/2023,23/05/2024
Already Diagnostic Tools,MedSupplies,126,331.16,41726.16,03/04/2025,Emergency Storage,Out of Stock,16/03/2024,24/06/2024
Knowledge Surgical Equipment,HealthFirst,171,234.81,40152.51,07/11/2026,Warehouse B,Available,01/02/2023,18/12/2023
Process Personal Protective Equipment,MedSupplies,277,149.94,41533.38,04/11/2024,Clinic Branch,Low Stock,05/05/2023,13/09/2024
Manager Diagnostic Tools,CareWell,118,349.65,41258.7,14/08/2026,Warehouse A,Out of Stock,20/08/2022,
Shoulder Surgical Equipment,CareWell,228,488.63,111407.64,07/10/2025,Warehouse B,Out of Stock,03/06/2024,14/08/2024
East Surgical Equipment,CareWell,91,238.51,21704.41,29/06/2026,Clinic Branch,Out of Stock,14/12/2022,01/06/2023
Manager Diagnostic Tools,PharmaPlus,35,125.02,4375.7,28/08/2025,Main Hospital,Available,06/01/2023,28/04/2024
Magazine Sanitizers,MedSupplies,66,261.72,17273.52,23/06/2024,Warehouse B,Available,11/08/2024,22/01/2025
Age Medicine,HealthFirst,218,192.93,42058.74,20/03/2025,Clinic Branch,Low Stock,12/09/2024,
Dream Diagnostic Tools,MediCorp,192,267.74,51406.08,09/05/2026,Main Hospital,Low Stock,10/09/2023,27/09/2024
Next Sanitizers,CareWell,62,156.53,9704.86,21/07/2026,Main Hospital,Low Stock,12/05/2022,19/01/2025
Of Personal Protective Equipment,PharmaPlus,107,473.85,50701.95,22/08/2026,Clinic Branch,Available,24/05/2024,11/01/2025
Southern Sanitizers,HealthFirst,91,124.18,11300.38,21/03/2027,Warehouse B,Low Stock,09/05/2023,03/06/2024
Customer Personal Protective Equipment,MediCorp,174,321.96,56021.04,Invalid Date,Emergency Storage,Low Stock,22/08/2024,01/01/2025
Always Diagnostic Tools,CareWell,170,282.8,48076,03/11/2025,Warehouse A,Available,15/08/2023,10/09/2024
Fill Medicine,MedSupplies,213,105.02,22369.26,17/11/2025,Main Hospital,Low Stock,16/05/2023,04/07/2023
Hundred Diagnostic Tools,PharmaPlus,118,129.87,15324.66,08/02/2027,Warehouse A,Low Stock,12/03/2024,08/09/2024
Enjoy Diagnostic Tools,HealthFirst,67,178.88,11984.96,23/10/2026,Emergency Storage,Low Stock,05/12/2023,07/12/2024
Standard Sanitizers,MediCorp,101,340.53,34393.53,07/07/2027,Clinic Branch,Low Stock,15/10/2024,10/03/2025
Any Diagnostic Tools,MediCorp,77,216.32,16656.64,04/07/2027,Warehouse B,Out of Stock,28/11/2023,21/03/2025
According Personal Protective Equipment,MedSupplies,0,412.75,0,27/12/2024,Main Hospital,Low Stock,15/04/2023,09/02/2025
Contain Medicine,PharmaPlus,61,273.68,16694.48,21/04/2026,Emergency Storage,Low Stock,11/08/2022,10/10/2022
Benefit Diagnostic Tools,CareWell,141,443.24,62496.84,09/01/2028,Emergency Storage,Available,06/09/2024,11/10/2024
Them Sanitizers,PharmaPlus,210,92.38,19399.8,27/09/2025,Clinic Branch,Low Stock,16/01/2025,16/02/2025
Over Sanitizers,PharmaPlus,99,202.36,20033.64,01/12/2025,Emergency Storage,Low Stock,04/09/2022,26/05/2024
Game Sanitizers,MediCorp,117,483.2,56534.4,09/05/2026,Main Hospital,Available,04/10/2024,18/01/2025
None Diagnostic Tools,CareWell,10,481.78,4817.8,22/12/2024,Warehouse A,Low Stock,28/07/2023,14/10/2023
Strong Medicine,PharmaPlus,219,8.19,1793.61,21/12/2024,Warehouse A,Out of Stock,10/07/2022,21/05/2024
Budget Sanitizers,CareWell,164,219.3,35965.2,18/07/2026,Clinic Branch,Available,04/12/2022,08/06/2023
People Sanitizers,HealthFirst,173,69.68,12054.64,23/08/2027,Clinic Branch,Available,29/11/2022,20/01/2025
Me Personal Protective Equipment,PharmaPlus,29,271.29,7867.41,16/12/2024,Warehouse B,Out of Stock,01/11/2023,20/03/2025
Around Diagnostic Tools,HealthFirst,27,60.69,1638.63,28/05/2026,Clinic Branch,Low Stock,09/03/2022,05/05/2023
Blood Medicine,PharmaPlus,69,303.08,20912.52,17/03/2027,Warehouse B,Available,16/08/2022,26/07/2023
Wind Diagnostic Tools,MedSupplies,186,35.24,6554.64,07/06/2024,Emergency Storage,Low Stock,25/04/2022,23/06/2022
Generation Surgical Equipment,HealthFirst,153,423.3,64764.9,17/09/2024,Warehouse A,Low Stock,10/08/2024,02/02/2025
Upon Personal Protective Equipment,HealthFirst,272,324.27,88201.44,21/09/2024,Clinic Branch,Out of Stock,29/03/2022,15/08/2024
According Diagnostic Tools,CareWell,98,300.38,29437.24,25/08/2024,Warehouse A,Out of Stock,02/11/2023,26/07/2024
Few Diagnostic Tools,CareWell,96,44.18,4241.28,13/05/2027,Warehouse A,Out of Stock,14/06/2022,08/08/2023
Laugh Sanitizers,HealthFirst,267,389.54,104007.18,17/04/2027,Emergency Storage,Low Stock,16/02/2025,20/02/2025
Later Surgical Equipment,MediCorp,4,400.86,1603.44,29/12/2024,Main Hospital,Low Stock,03/02/2024,27/06/2024
According Diagnostic Tools,HealthFirst,149,161.84,24114.16,25/10/2024,Main Hospital,Out of Stock,08/03/2023,16/06/2024
Act Surgical Equipment,CareWell,165,252.24,41619.6,24/03/2024,Clinic Branch,Out of Stock,21/09/2024,
Talk Surgical Equipment,MediCorp,140,335.3,46942,18/03/2026,Warehouse B,Available,22/12/2023,
Probably Surgical Equipment,MedSupplies,4,80.85,323.4,19/02/2027,Clinic Branch,Available,26/09/2024,23/10/2024
Class Surgical Equipment,PharmaPlus,203,200.7,40742.1,12/12/2024,Warehouse B,Available,02/11/2024,21/01/2025
Music Diagnostic Tools,HealthFirst,108,461.83,49877.64,08/02/2026,Warehouse B,Available,27/05/2024,20/12/2024
Relate Diagnostic Tools,MediCorp,202,133.58,26983.16,11/07/2024,Main Hospital,Available,28/11/2023,08/04/2024
Best Surgical Equipment,HealthFirst,229,409.36,93743.44,26/11/2026,Warehouse A,Out of Stock,08/03/2023,07/10/2024
Until Surgical Equipment,PharmaPlus,295,320.96,94683.2,22/02/2025,Warehouse B,Available,07/04/2024,05/06/2024
Recognize Sanitizers,MediCorp,55,417.34,22953.7,02/06/2027,Clinic Branch,Out of Stock,02/01/2025,23/02/2025
Change Surgical Equipment,CareWell,112,98.81,11066.72,31/08/2027,Clinic Branch,Available,02/05/2023,
Near Medicine,MedSupplies,113,98.79,11163.27,19/08/2025,Clinic Branch,Low Stock,20/08/2024,29/08/2024
Level Surgical Equipment,MedSupplies,0,175.24,0,21/11/2024,Clinic Branch,Available,15/05/2024,17/11/2024
Middle Sanitizers,HealthFirst,78,136.28,10629.84,14/03/2024,Clinic Branch,Available,15/08/2023,12/06/2024
Herself Surgical Equipment,CareWell,17,487.6,8289.2,29/05/2025,Main Hospital,Available,23/07/2022,09/03/2024
Animal Surgical Equipment,MedSupplies,66,479.47,31645.02,11/02/2026,Warehouse A,Low Stock,28/11/2022,08/02/2023
Chance Medicine,PharmaPlus,286,407.99,116685.14,18/11/2025,Clinic Branch,Out of Stock,08/07/2023,13/05/2024
Wear Medicine,MedSupplies,207,243.79,50464.53,09/09/2027,Warehouse A,Low Stock,08/07/2023,17/01/2024
Policy Sanitizers,HealthFirst,79,142.81,11281.99,12/02/2028,Main Hospital,Low Stock,02/02/2024,24/10/2024
Person Medicine,HealthFirst,226,332.83,75219.58,10/09/2025,Main Hospital,Out of Stock,04/02/2023,05/09/2024
Word Diagnostic Tools,HealthFirst,202,225.23,45496.46,26/08/2027,Warehouse B,Low Stock,10/01/2024,02/04/2024
Quickly Medicine,PharmaPlus,229,314.66,72057.14,04/06/2025,Clinic Branch,Out of Stock,05/12/2023,20/01/2025
Join Personal Protective Equipment,HealthFirst,242,282.39,68338.38,23/09/2024,Main Hospital,Available,31/07/2024,16/12/2024
Rise Diagnostic Tools,CareWell,25,495.49,12387.25,09/10/2026,Clinic Branch,Low Stock,13/08/2024,
Method Personal Protective Equipment,PharmaPlus,122,352.41,42994.02,25/05/2024,Warehouse A,Low Stock,28/01/2025,16/02/2025
Picture Personal Protective Equipment,MediCorp,101,115.45,11660.45,29/10/2024,Warehouse A,Out of Stock,03/12/2024,07/02/2025
Foreign Diagnostic Tools,MedSupplies,213,139.29,29668.77,23/11/2025,Warehouse A,Available,26/06/2024,10/12/2024
Scientist Personal Protective Equipment,PharmaPlus,173,437.19,75633.87,26/01/2026,Main Hospital,Available,29/01/2025,20/03/2025
Write Surgical Equipment,CareWell,0,228.98,0,04/03/2027,Emergency Storage,Out of Stock,13/04/2024,21/06/2024
Want Personal Protective Equipment,MediCorp,16,244.97,3919.52,22/10/2026,Clinic Branch,Low Stock,27/01/2023,04/10/2024
Improve Personal Protective Equipment,CareWell,222,403.35,89543.7,24/07/2024,Warehouse A,Low Stock,11/04/2022,08/01/2023
Red Medicine,HealthFirst,230,482.75,111032.5,12/12/2024,Warehouse A,Low Stock,30/06/2023,12/07/2024
Item Surgical Equipment,CareWell,259,93.64,24252.76,10/05/2026,Warehouse B,Available,18/08/2024,09/03/2025
Short Diagnostic Tools,PharmaPlus,37,374.58,13859.46,04/01/2026,Clinic Branch,Low Stock,04/09/2024,12/02/2025
Activity Sanitizers,PharmaPlus,283,193.01,54621.83,31/10/2024,Warehouse B,Low Stock,02/09/2023,15/03/2024
Because Diagnostic Tools,PharmaPlus,64,311.22,19918.08,07/05/2025,Warehouse A,Out of Stock,31/01/2024,12/01/2025
Else Sanitizers,HealthFirst,242,492.51,119187.42,30/01/2027,Warehouse A,Low Stock,08/03/2024,22/09/2024
Next Personal Protective Equipment,MedSupplies,260,201.99,52517.4,02/05/2026,Warehouse B,Available,21/08/2024,23/10/2024
Nor Sanitizers,PharmaPlus,43,38.49,1655.07,09/09/2027,Emergency Storage,Out of Stock,20/01/2023,24/12/2023
Else Diagnostic Tools,HealthFirst,83,184.84,15341.72,28/01/2027,Clinic Branch,Low Stock,02/02/2023,18/03/2025
Great Diagnostic Tools,PharmaPlus,100,201.44,20144,14/06/2027,Main Hospital,Low Stock,09/03/2024,11/05/2024
Anything Surgical Equipment,MediCorp,50,132.74,6637,26/03/2025,Clinic Branch,Available,03/09/2024,
Close Surgical Equipment,HealthFirst,288,432.05,124430.4,Invalid Date,Warehouse A,Out of Stock,24/06/2024,30/01/2025
Land Personal Protective Equipment,HealthFirst,115,293.02,33697.3,30/09/2027,Emergency Storage,Out of Stock,06/01/2025,22/02/2025
Congress Medicine,MediCorp,112,269.49,30182.88,10/07/2024,Main Hospital,Low Stock,26/03/2022,23/09/2024
Evidence Surgical Equipment,PharmaPlus,262,446.65,117022.3,14/06/2027,Emergency Storage,Available,05/08/2024,15/08/2024
Accept Sanitizers,MedSupplies,76,281.36,21383.36,22/02/2025,Emergency Storage,Available,15/03/2023,03/04/2023
Here Personal Protective Equipment,HealthFirst,2,81.93,163.86,08/12/2024,Warehouse B,Out of Stock,28/04/2024,19/03/2025
Meeting Diagnostic Tools,,249,381.51,94995.99,18/07/2025,Clinic Branch,Out of Stock,03/10/2022,11/07/2023
Free Sanitizers,HealthFirst,147,245.27,36054.69,01/05/2026,Emergency Storage,Available,11/06/2024,19/06/2024
Though Medicine,MediCorp,252,119.44,30098.88,23/12/2024,Warehouse A,Available,29/04/2024,28/11/2024
Side Surgical Equipment,CareWell,183,261.58,47869.14,15/05/2027,Clinic Branch,Out of Stock,31/08/2024,26/10/2024
Nor Diagnostic Tools,HealthFirst,95,238.3,22638.5,26/03/2025,Warehouse A,Available,05/06/2023,27/02/2024
Station Sanitizers,MedSupplies,266,382.19,101662.54,05/03/2026,Emergency Storage,Low Stock,19/07/2023,18/02/2024
Leg Surgical Equipment,PharmaPlus,122,432.9,52813.8,11/12/2027,Warehouse B,Available,01/06/2022,09/01/2025
Support Sanitizers,CareWell,91,41.48,3774.68,11/01/2026,Warehouse A,Out of Stock,30/04/2022,19/03/2023
Growth Medicine,PharmaPlus,185,358.82,66381.7,14/06/2027,Emergency Storage,Out of Stock,07/09/2024,
Possible Surgical Equipment,MediCorp,246,399.4,98252.4,11/12/2024,Clinic Branch,Out of Stock,07/11/2024,
Attention Personal Protective Equipment,HealthFirst,198,324.13,64177.74,10/05/2027,Warehouse A,Available,18/08/2024,
Recent Sanitizers,HealthFirst,196,49.66,9733.36,24/01/2025,Clinic Branch,Low Stock,18/11/2024,24/01/2025
Business Diagnostic Tools,CareWell,171,330.39,56496.69,13/10/2025,Main Hospital,Low Stock,07/03/2022,17/01/2024
Education Medicine,MediCorp,108,212.11,22907.88,15/03/2024,Clinic Branch,Available,03/12/2022,22/12/2024
Risk Diagnostic Tools,MedSupplies,31,10.5,325.5,13/07/2025,Warehouse B,Low Stock,17/06/2023,09/10/2024
Sure Personal Protective Equipment,MediCorp,156,385.15,60083.4,04/11/2024,Main Hospital,Out of Stock,09/02/2024,04/01/2025
Or Sanitizers,PharmaPlus,212,364.69,77314.28,21/08/2027,Main Hospital,Low Stock,26/11/2023,11/08/2024
South Personal Protective Equipment,CareWell,91,167.68,15258.88,08/01/2026,Warehouse B,Low Stock,11/02/2025,28/02/2025
Down Sanitizers,MediCorp,105,430.67,45220.35,31/01/2027,Warehouse B,Available,06/05/2024,
Leave Surgical Equipment,CareWell,216,356.04,76904.64,05/07/2027,Warehouse A,Available,24/12/2023,12/09/2024
Tell Sanitizers,MediCorp,132,385.86,50933.52,15/08/2024,Emergency Storage,Out of Stock,13/07/2022,08/12/2024
Social Surgical Equipment,CareWell,128,313.28,40099.84,10/06/2027,Emergency Storage,Out of Stock,16/01/2024,
Such Diagnostic Tools,MedSupplies,293,444.34,130191.62,26/05/2024,Main Hospital,Low Stock,12/05/2022,10/08/2024
Avoid Sanitizers,HealthFirst,27,477.4,12889.8,14/12/2027,Warehouse B,Out of Stock,18/01/2023,04/10/2023
Left Personal Protective Equipment,MediCorp,228,122.21,27863.88,22/09/2027,Warehouse A,Available,15/06/2024,24/01/2025
Look Surgical Equipment,MediCorp,287,318.97,91544.39,02/06/2025,Clinic Branch,Available,11/04/2022,13/07/2024
Lawyer Medicine,MediCorp,157,276.51,43412.07,16/03/2025,Clinic Branch,Available,30/09/2024,06/02/2025
Guess Surgical Equipment,HealthFirst,279,52.2,14563.8,12/01/2027,Warehouse B,Available,03/06/2023,21/01/2025
Pm Personal Protective Equipment,PharmaPlus,219,97.38,21326.22,03/08/2024,Warehouse A,Out of Stock,26/08/2022,10/09/2024
Popular Personal Protective Equipment,PharmaPlus,120,494.46,59335.2,12/01/2026,Warehouse A,Available,02/02/2023,30/06/2023
Term Diagnostic Tools,MedSupplies,102,41.82,4265.64,29/04/2026,Warehouse A,Available,15/04/2024,24/06/2024
Station Surgical Equipment,,4,171.49,685.96,03/05/2024,Main Hospital,Out of Stock,02/11/2023,22/10/2024
Indeed Personal Protective Equipment,CareWell,74,46.01,3404.74,18/03/2025,Warehouse A,Low Stock,19/08/2023,30/01/2025
Indeed Medicine,PharmaPlus,181,64.76,11721.56,15/02/2026,Emergency Storage,Low Stock,05/07/2022,24/06/2024
Today Sanitizers,MediCorp,8,432.29,3458.32,17/08/2027,Clinic Branch,Available,11/05/2024,17/07/2024
Practice Medicine,PharmaPlus,221,92.71,20488.91,01/03/2024,Main Hospital,Low Stock,10/08/2023,27/10/2023
Big Medicine,MediCorp,10,154.52,1545.2,28/02/2027,Warehouse A,Available,24/11/2022,23/02/2025
Treat Medicine,PharmaPlus,225,366.96,82566,12/04/2025,Main Hospital,Available,12/09/2022,12/10/2024
Capital Medicine,PharmaPlus,134,184.06,24664.04,13/06/2025,Warehouse A,Out of Stock,24/11/2024,03/12/2024
